Location,Pin Code
Niwana,303804 
Niwaroo,302012 
P.W.d.office,302006 
Pachala,303005 
Pachar,303706 
Padasoli,303305 
Pahandia,303904 
Palawalan Jatan,303301 
Paldi,303003 
Panchudala,303110 
Panditpura,303106 
Paniyala,303108 
Panwalia,303904 
Paota(jaipur),303106 
Papad,303012 
Parwan,303005 
Pathredi,303107 
Pawana,303108 
Peepla,303904 
Phagi,303005 
Phulera,303338 
Phulera Bazar,303338 
Pragpura,303107 
Pratap Nagar housing board,302033 
Pratapura,303801 
Punana,303701 
Purani Basti,302001 
Purshottampura,303105 
R.A.c.,302003 
Radahkishanpura,303701 
Radawas,303601 
Radoli,303908 
Raghunathpura,303701 
Rahori,302027 
Raikaranpura,303105 
Raipur,303001 
Raisar,303109 
Raithal,303801 
Raj Bhawan,302006 
Raja Park colony,302004 
Rajasthan Secretariate,302005 
Rajasthan State hotel,302001 
Rajasthan University,302004 
Rajnauta,303110 
Rajpura,303305 
Rajpurawas Tala,303002 
Rambura Dabari,303704 
Ramganj Bazar,302003 
Ramjipura,303603 
Ramnagar,303908 
Rampura,303106 
Rampura Roopa,302015 
Rampura Unti,303007 
Ramsinghpura,303108 
Raopura,303804 
Rasili,303008 
Rehlana,303008 
Renwal,303603 
Road No-5 vkia,302013 
Rojda,302012 
Rojdi,303338 
Roop Was,302027 
Roopa Hedi kalan,303908 
Roopahedi Khurd,303908 
Rundal,303805 
S.D.m.hospitial,302015 
S.F.s.mansarovar,302020 
S.M.s.hospital,302004 
Saipura,302027 
Saiwad,303103 
Saiwar,302027 
Sakhoon,303008 
Sali,303008 
Salt Colony,303604 
Sambhar Lake,303604 
Sambharia,303903 
Samod,303806 
Samred Kalan,303109 
Sandarsar,303801 
Sanganer Bazar,302029 
Sangteda,303108 
Sankotra,303001 
Sanwali,303009 
Sanwalia,303901 
Sanwarda,303348 
Sarund,303105 
Sawai Madhosinghpura,303901 
"Sector 11,12 malviya nagar",302017 
Sector-11 Pratap nagar,302033 
Sewa,303008 
Sewapura,303805 
Shaakar Khawda,303901 
Shahpura,303103 
Shardulpura,303338 
Shastri Nagar,302016 
Shivaji Nagar,302002 
Shivdaspura,303903 
Shivsinghpura,303806 
Shyam Nagar,302019 
Silki Doongari,303901 
Sindhi Colony,302016 
Singot Kalan,303803 
Singot Khurd,303803 
Sinodia,303008 
Sinodiya,303328 
Sinwar,302012 
Sirohi,303104 
Sirohi Kalan,303008 
Sirsali,303702 
Sirsi,302012 
Sitapura Industrial area,302022 
Sothana,303102 
Sriram Ki nangal,303905 
Srirampura,303348 
Station Road,302006 
Suderpura Dhadha,303107 
Sujatnagar,303107 
Suklawas,303105 
Sumel,303012 
Sunderpura,303108 
Surana,303120 
Surmalikpur,303603 
Tala,303120 
Talba Bihajar,303003 
Tamariya,303901 
Tankarda,303702 
Taskola,303106 
Teetaria,303903 
Teja Ka bas,303338 
Teori,303003 
Thali,303901 
Theekariya Gujran,303908 
Theekariya Meena,303908 
Thikariya,302026 
Tholai,303001 
Thoomli Ka bas,303901 
Tigaria,303804 
Tilak Nagar,302004 
Toda Bhata,303301 
Toda Meena,302028 
Toonga,303302 
Toontoli,303903 
Torda Kalan,303106 
Tripolia Bazar,302002 
Tripolia Chomu,303802 
Turkyawas,303602 
Tyod,303604 
Udaipuria,303807 
Ugariwas,303338 
Vaishali Nagar,302021 
Veelpur,303104 
Vidhani,303905 
Vidhyadhar Nagar,302023 
Vidyut Bhawan,302005 
Virat Nagar,303102 
Vishwakarma Industrial area,302013 
Vitta Bhawan,302005 
Watika,303905 
Yaarlipura,303903 
